resonance_smis,H298_kcal,weights
CC(O)(C#N)C1C[CH]O1,3.2718340754724,1.0
CCC1([C]=O)C(C)C1O,-34.14544970718953,1.0
CC(C#N)C(C)(O)[C]=O,-25.13921205244576,1.0
CC(=[N])c1ccccc1C,63.88055618303395,1.0
C#CC1[N]C(C#N)C1O,122.52759319291896,1.0
C#CC1NC(C#N)[C]1N,164.8991405625758,1.0
C#CCC1C([CH2])C1C,99.65125499748127,1.0
O=C1C[CH]C12C1CCC12,73.23237213626699,1.0
C[C]1CC2C3C1CC23C,68.90731672620986,1.0
COCC1O[CH]OC1C,-77.41797682598992,1.0
[CH2]C(=C)OC,3.8528953322315953,1.0
C[CH]C1(C=O)CN1,32.33045781134291,1.0
CC1O[CH]C2(C)CC12,8.363121510459374,1.0
O=CC12C3[CH]OC1C2N3,50.75057625868291,1.0
[CH]1CC2N=COC2CO1,-10.639056049298341,1.0
C[CH]C1C(C)C2OC12,37.198907281791,1.0
C#CC(C#N)([CH]O)CO,42.60446304138274,1.0
[CH2]Oc1onnc1O,12.709523683911094,1.0
[CH]1COCC12CO2,-1.6004276492397125,1.0
CC(O)C(C)C[CH]O,-75.80299134257488,1.0
O=C1CN[CH]C1O,-23.474023894605214,1.0
COC12C[CH]CC(C1)C2,8.709795348813577,1.0
CC(C)C([C]=O)OC=O,-91.5359133799413,1.0
CC12C[CH]C1(C1CN1)O2,80.13693617834214,1.0
CC12CC1C(C#N)[CH]O2,52.64679775377926,1.0
O[CH]C1OC12C1CC2C1,39.923191501548615,1.0
C[CH]C1C(C)N1CC#N,87.7974858129606,1.0
CC12[CH]OC3C1CC32,57.639711227028585,1.0
CCC(C)(C#N)[CH]CO,2.8445527376040296,1.0
CC1NC12CC(O)[C]2O,-0.864317572009197,1.0
C[CH]C(C)(O)CCOC,-68.62594136976074,1.0
O=C1C(CO)[CH]C2NC12,1.4742726719566224,1.0
COCC[CH]N1CC1C,21.768190151039985,1.0
OC1C2[CH]C1C2,63.14669778643898,1.0
[CH]1CCCCCCCC1,11.873231051749958,1.0
C#CC1([O])CC2CC21,109.50807214646296,1.0
CC12[C]3CCN1C2CO3,49.49678713382443,1.0
C[C](CO)CC1CCC1,-8.384471790110526,1.0
OC12[CH]C3C1N3C2,96.31346360527091,1.0
C[CH]C1CC1(O)CO,-36.47715080752358,1.0
[CH2]OC12C=CC3OC1C32,63.64633710759742,1.0
C#CC(=O)OC[C]=O,-9.60288268687543,1.0
CC(C#N)([CH]O)N1CC1,53.94278496358307,1.0
CC1[C](O)C(C)C1C=O,-30.35947598552983,1.0
C[CH]C1OC(=N)C1NC,32.40157091572109,1.0
C[C]1C(C)OC1CCO,-38.56656076645179,1.0
