resonance_smis,H298_kcal,weights
[NH2+]=C([O-])NCC=O,-80.7889217439946,0.3333333333333333
NC(=O)NCC=O,-80.7889217439946,0.3333333333333333
NC([O-])=[NH+]CC=O,-80.7889217439946,0.3333333333333333
C=CCC([NH+]=C[O-])C(=O)O,-120.4647390583726,0.5
C=CCC(NC=O)C(=O)O,-120.4647390583726,0.5
C[N-]C(=[NH2+])C(=O)NC=N,-12.162614522925349,0.25
CN=C(N)C(=O)NC=N,-12.162614522925349,0.25
CN=C(N)C(=O)[NH+]=C[NH-],-12.162614522925349,0.25
CN=C(N)C([O-])=[NH+]C=N,-12.162614522925349,0.25
NC(=O)C(O)C(O)C=O,-166.57879465858136,0.5
[NH2+]=C([O-])C(O)C(O)C=O,-166.57879465858136,0.5
CC(C=O)NCC(N)=O,-78.9505943572304,0.5
CC(C=O)NCC(=[NH2+])[O-],-78.9505943572304,0.5
COC[NH+]=C[O-],-80.04431614026949,0.5
COCNC=O,-80.04431614026949,0.5
O=C1[NH+]=C([O-])NC12CCCC2,-92.77569058196585,0.25
O=C1NC(=O)C2(CCCC2)N1,-92.77569058196585,0.25
O=C1NC([O-])=[NH+]C12CCCC2,-92.77569058196585,0.25
O=C1NC2(CCCC2)C([O-])=[NH+]1,-92.77569058196585,0.25
CCN=C(C#N)NC=N,66.25115751198581,0.3333333333333333
CC[N-]C(C#N)=[NH+]C=N,66.25115751198581,0.3333333333333333
CCN=C(C#N)[NH+]=C[NH-],66.25115751198581,0.3333333333333333
CN1CC[N-]C=[NH+]CC1,34.73212320047719,0.5
CN1CCN=CNCC1,34.73212320047719,0.5
C#CC(C)C(=O)NC=N,19.92228703064328,0.3333333333333333
C#CC(C)C(=O)[NH+]=C[NH-],19.92228703064328,0.3333333333333333
C#CC(C)C([O-])=[NH+]C=N,19.92228703064328,0.3333333333333333
NOCC(N)=O,-48.73465759293654,0.5
NOCC(=[NH2+])[O-],-48.73465759293654,0.5
CN1CCC2(CC1)CNC(=O)O2,-86.99446653522676,0.5
CN1CCC2(CC1)C[NH+]=C([O-])O2,-86.99446653522676,0.5
C=NC(=C)NC(C)=O,-3.0310262483770694,0.5
C=NC(=C)[NH+]=C(C)[O-],-3.0310262483770694,0.5
C#CCNC(N)=NC,70.50932432052718,0.3333333333333333
C#CC[NH+]=C(N)[N-]C,70.50932432052718,0.3333333333333333
C#CCNC(=[NH2+])[N-]C,70.50932432052718,0.3333333333333333
C#CC(C)C[NH+]=C(N)[O-],-9.394254439836272,0.3333333333333333
C#CC(C)CNC(=[NH2+])[O-],-9.394254439836272,0.3333333333333333
C#CC(C)CNC(N)=O,-9.394254439836272,0.3333333333333333
NC([O-])=[N+]1C=CCCC1,-36.5325813502642,0.3333333333333333
[NH2+]=C([O-])N1C=CCCC1,-36.5325813502642,0.3333333333333333
NC(=O)N1C=CCCC1,-36.5325813502642,0.3333333333333333
[NH2+]=C1CCCC[N-]1,3.034484352929143,0.5
NC1=NCCCC1,3.034484352929143,0.5
C#CCNC([O-])=[NH+]C=O,-28.65026622254136,0.25
C#CCNC(=O)[NH+]=C[O-],-28.65026622254136,0.25
C#CC[NH+]=C([O-])NC=O,-28.65026622254136,0.25
C#CCNC(=O)NC=O,-28.65026622254136,0.25
N#CCOC([NH-])=[NH+]C=O,-23.52403430072934,0.3333333333333333
